Sesame	Virtuoso	OWLIM-SE	Fuseki
231	193	1251	317
12247	2951	60490	35434
4149	133	41930	258
71	109	219	185
291	3334	12394	362
180000	2101	165417	64
1495	3017	6583	6515
37	95	66	42
38841	3024	25454	68990
4609	511	9847	69
23224	5621	5422	15082
16	65	63	11
33634	2022	22199	1204
23	20	1036	31
14	229	20	82
226	204	41	55
1830	2060	180000	180000
180000	180000	180000	180000
29	1102	703	1172
13817	2271	33521	42973
180000	2182	46522	30
34	345	46	41
180000	65	311	14144
83706	160	9643	24081
13	30	33	20
435	638	449	180000
9867	18	113	1405
86	576	158	60
43	47	14	19
3492	62	8366	57
180000	180000	180000	180000
81	41	29	44
59	125	13477	36
35133	26	3464	56039
3338	66	16679	231
35	38	97	32
18	329	15	19
180000	4019	58154	134595
15	48	46	49
445	199	284	6742
2136	2864	20341	7886
3045	552	7620	2875
56	630	61	3901
20153	176	8159	12956
14	100	88	34
285	23	139	1391
15	37	90	24
16	13	22	12
20	22	170	18
18564	4447	9372	12746
144	2146	7357	442
681	307	340	1069
17	196	21	30
180000	3389	4014	4780
131	564	119	79
23243	2137	5202	7352
8	65	11	10
180000	2618	20941	52998
3299	2586	33924	99
3290	216	19816	54
3848	2017	55089	14157
7	127	2663	15
209	5258	6749	1858
3270	32	17241	97
2266	268	180000	180000
1900	6873	7924	4456
55	190	37	34
4418	200	6735	48
11	20	14	67
343	4884	5903	787
194	666	4203	119
3327	565	11804	53
6	114	391	36
675	4624	29651	116550
6	135	26	15
4137	1980	11930	5334
499	1518	5419	6335
398	982	8088	65573
749	4541	11548	5825
761	1997	974	3857
64	333	49	28
16892	2112	180000	49042
4463	350	11209	1711
4142	168	14322	918
7	52	18	16
56	1464	106	30706
106	318	2805	2549
12480	2281	35865	158142
41	82	21	6473
43	11	8020	23
109	16	86	93
12	9	26	12
109	38	194	173
111257	2620	55103	138842
180000	180000	180000	180000
31	28	27824	28
180000	235	7044	637
17041	1144	23772	4088
215	179	980	21
180000	158	13236	78
193	16	17	22
2259	177	1821	1062
38	14	100	46
681	197	5792	820
265	14	116	48
20077	1287	47641	6449
46	132	14	22
59	7	9	146612
20160	2157	39913	73639
180000	180000	180000	180000
24754	820	135	11942
161	13	78	22
180000	994	125350	180000
8065	59	18414	5572
13	8	50	14
120	92	40	49
62	144	64	13584
4487	179	18453	5518
46	67	181	28
7985	582	5760	40752
145	126	23	80
1014	69	6046	805
127219	74	36942	96
180000	180000	180000	180000
180000	180000	180000	180000
180000	107	7673	180000
34737	33	44740	77
61	13	38	57
343	77	293	107
17200	52	13145	144
180000	2478	61425	59607
211	33	123	40
205	278	122	40
30	46	12843	28
120	187	17	41
155	15	73	609
112	16	333	63
180000	640	61752	12665
1233	309	191	1326
4782	8	68120	55
2665	150	9724	1262
327	54	257	5051
4810	171	40419	135
173	87	350	38
18	16	15216	9
180000	180000	180000	180000
180000	2006	25931	96405
15460	10	688	1278
29790	22	293	180000
64490	147	68351	77
9725	111	5376	215
10	11	101	57
180000	233	104229	3583
2082	15	67328	35
1971	94	56904	70
317	110	334	411
180000	180000	180000	180000
9083	110	20210	350
81	89	19	22
180000	180000	180000	180000
172	43	55	21
448	42	918	86
218	64	158	101
180000	12	89113	86
180000	180000	180000	180000
2143	20	153	18
359	34	918	70
34133	9	4570	147
513	24	328	28
8770	84	572	3712
72	8	26527	61
66	24	29	168
180000	2055	180000	163503
67	40	481	6632
621	36	514	94
